"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-02
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1052,0.2483,0.3175,0,0.1187,0.02,2.81,3.449,2.81,0.639
8313,"LOVES #877",Cullman,AL,ULSD,2.092,0.2483,0.3175,0,0.065,0.01,2.733,3.289,2.733,0.556
36091,"LOVES #773",Eutaw,AL,ULSD,2.092,0.2483,0.3175,0,0.0522,0.06,2.77,3.069,2.77,0.299
1106,"LOVES #225",Evergreen,AL,ULSD,2.1052,0.2483,0.3175,0,0.0949,0.07,2.836,3.289,2.836,0.453
1375,"LOVES #381",Falkville,AL,ULSD,2.092,0.2483,0.3175,0,0.0825,0.03,2.77,3.289,2.77,0.519
14312,"LOVES #814",Hamilton,AL,ULSD,2.122,0.2483,0.3175,0,0.08,0.03,2.798,3.389,2.798,0.591
2172,"LOVES #818",Heflin,AL,ULSD,2.092,0.2483,0.3175,0,0.065,0.03,2.753,3.249,2.753,0.496
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1052,0.2483,0.3175,0,0.0625,0.03,2.764,3.289,2.764,0.525
21124,"LOVES #846",Irvington,AL,ULSD,2.1744,0.2483,0.3175,0,0.07,0.03,2.84,3.199,2.84,0.359
1173,"LOVES #466",Jasper,AL,ULSD,2.092,0.2483,0.3175,0,0.0362,0.04,2.734,3.289,2.734,0.555
1157,"LOVES #206",Loxley,AL,ULSD,2.1744,0.2483,0.3175,0,0.068,0.09,2.898,3.499,2.898,0.601
1108,"LOVES #227","Mc Calla",AL,ULSD,2.092,0.2483,0.3175,0,0.0475,0.02,2.725,3.239,2.725,0.514
1055,"LOVES #530",Moody,AL,ULSD,2.092,0.2483,0.3175,0,0.0675,0.08,2.805,3.219,2.805,0.414
1113,"LOVES #566",Ozark,AL,ULSD,2.2278,0.2483,0.3175,0,0.0825,0.07,2.946,3.589,2.946,0.643
1155,"LOVES #624",Prichard,AL,ULSD,2.1744,0.2483,0.3175,0,0.0675,0.08,2.888,3.299,2.888,0.411
1152,"LOVES #577",Shorter,AL,ULSD,2.1052,0.2483,0.3175,0,0.0667,0.1,2.838,3.449,2.838,0.611
38263,"LOVES #774","Smiths Station",AL,ULSD,2.1052,0.2483,0.3175,0,0.089,0.03,2.79,3.399,2.79,0.609
1147,"LOVES #304",Steele,AL,ULSD,2.092,0.2483,0.3175,0,0.0587,0.08,2.797,3.749,2.797,0.952
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.092,0.2483,0.3175,0,0.1155,0.0175,2.791,3.289,2.791,0.498
8031,"LOVES #635",Alma,AR,ULSD,1.9524,0.2483,0.285,0,0.0455,0.003,2.534,3.489,2.534,0.955
40016,"LOVES #671",Blytheville,AR,ULSD,2.1804,0.2483,0.285,0,0.1025,0.003,2.819,3.629,2.819,0.81
52153,"LOVES #822",Clarksville,AR,ULSD,2.06,0.2483,0.285,0,0.0875,0.003,2.684,3.449,2.684,0.765
6160,"LOVES #759",Hazen,AR,ULSD,2.06,0.2483,0.285,0,0.065,0.003,2.661,3.189,2.661,0.528
4116,"LOVES #607",Jonesboro,AR,ULSD,2.1274,0.2483,0.285,0,0.0875,0.003,2.751,3.319,2.751,0.568
44598,"LOVES #689","Lake Village",AR,ULSD,2.06,0.2483,0.285,0,0.0992,0.003,2.696,3.469,2.696,0.773
4198,"LOVES #457","Little Rock",AR,ULSD,2.06,0.2483,0.285,0,0.06,0.003,2.656,3.189,2.656,0.533
10170,"LOVES #779",Malvern,AR,ULSD,2.1515,0.2483,0.285,0,0.087,0.003,2.775,3.889,2.775,1.114
4122,"LOVES #267",Morrilton,AR,ULSD,2.06,0.2483,0.285,0,0.0875,0.003,2.684,3.339,2.684,0.655
4053,"LOVES #236","N Little Rock",AR,ULSD,2.06,0.2483,0.285,0,0.06,0.003,2.656,3.189,2.656,0.533
4134,"LOVES #271",Ozark,AR,ULSD,2.06,0.2483,0.285,0,0.0875,0.003,2.684,3.449,2.684,0.765
4150,"LOVES #275",Palestine,AR,ULSD,2.1274,0.2483,0.285,0,0.0555,0.003,2.719,3.459,2.719,0.74
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.06,0.2483,0.285,0,0.0751,0.003,2.671,3.189,2.671,0.518
4321,"LOVES #277",Prescott,AR,ULSD,2.1515,0.2483,0.285,0,0.0884,0.003,2.776,3.889,2.776,1.113
21236,"LOVES #884",Prescott,AR,ULSD,2.1515,0.2483,0.285,0,0.0884,0.003,2.776,3.929,2.776,1.153
4075,"LOVES #557",Searcy,AR,ULSD,2.06,0.2483,0.285,0,0.07,0.003,2.666,3.449,2.666,0.783
4037,"LOVES #450","West Memphis",AR,ULSD,2.1274,0.2483,0.285,0,0.0575,0.003,2.721,3.579,2.721,0.858
3313,"LOVES #460",Benson,AZ,ULSD,2.3909,0.2483,0.26,0,0.0908,0.01,3,3.419,3,0.419
3079,"LOVES #280",Buckeye,AZ,ULSD,2.3168,0.2483,0.26,0,0.0758,0.01,2.911,3.159,2.911,0.248
3753,"LOVES #328","Chandler ",AZ,ULSD,2.3168,0.2483,0.26,0,0.0387,0.01,2.874,3.489,2.874,0.615
30448,"LOVES #972",ELOY,AZ,ULSD,2.3168,0.2483,0.26,0,0.0725,0.01,2.908,3.549,2.908,0.641
3087,"LOVES #265",Eloy,AZ,ULSD,2.3168,0.2483,0.26,0,0.0725,0.01,2.908,3.549,2.908,0.641
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.3168,0.2483,0.26,0,0.1025,0.01,2.938,3.649,2.938,0.711
3082,"LOVES #278","Joseph City",AZ,ULSD,2.123,0.2483,0.26,0,0.1899,0.01,2.831,3.389,2.831,0.558
3028,"LOVES #272",Kingman,AZ,ULSD,2.307,0.2483,0.26,0,0.1558,0.01,2.981,3.749,2.981,0.768
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.307,0.2483,0.26,0,0.167,0.01,2.992,3.749,2.992,0.757
29105,"LOVES #722",Mayer,AZ,ULSD,2.3168,0.2483,0.26,0,0.0975,0.01,2.933,3.579,2.933,0.646
30348,"LOVES #350",Nogales,AZ,ULSD,2.3909,0.2483,0.26,0,0.0597,0.01,2.969,3.659,2.969,0.69
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.3168,0.2483,0.26,0,0.135,0.01,2.97,3.889,2.97,0.919
3134,"LOVES #659",Tolleson,AZ,ULSD,2.3168,0.2483,0.26,0,0.062,0.01,2.897,3.149,2.897,0.252
49246,"LOVES #831",Willcox,AZ,ULSD,2.3909,0.2483,0.26,0,0.0821,0.01,2.991,3.769,2.991,0.778
3078,"LOVES #553",Williams,AZ,ULSD,2.3168,0.2483,0.26,0,0.1259,0.01,2.961,3.239,2.961,0.278
47463,"LOVES #971",Winslow,AZ,ULSD,2.3168,0.2483,0.26,0,0.17,0.01,3.005,3.419,3.005,0.414
3764,"LOVES #349",Yuma,AZ,ULSD,2.3482,0.2483,0.26,0,0.095,0.01,2.962,3.419,2.962,0.457
3495,"LOVES #830",Bakersfield,CA,ULSD,2.7599,0.2483,0.466,0.43755,0.0725,0.02465,4.009,4.489,4.009,0.48
5356,"LOVES #374",Barstow,CA,ULSD,2.7628,0.2483,0.466,0.45505,0.0825,0.02465,4.039,4.689,4.039,0.65
34155,"LOVES #755",Boron,CA,ULSD,2.7628,0.2483,0.466,0.44412,0.1165,0.02465,4.062,4.989,4.062,0.927
5266,"LOVES #207",Coachella,CA,ULSD,2.7743,0.2483,0.466,0.46237,0.1215,0.02465,4.097,4.329,4.097,0.232
5218,"LOVES #410",Corning,CA,ULSD,2.6341,0.2483,0.466,0.40899,0.1025,0.02465,3.885,4.189,3.885,0.304
5597,"LOVES #538",Lodi,CA,ULSD,2.5888,0.2483,0.466,0.40173,0.094,0.02465,3.823,4.689,3.823,0.866
5752,"LOVES #230","Lost Hills",CA,ULSD,2.5999,0.2483,0.466,0.42236,0.124,0.02465,3.885,4.359,3.885,0.474
1217,"LOVES #736",Madera,CA,ULSD,2.5999,0.2483,0.466,0.41935,0.1025,0.02465,3.861,4.889,3.861,1.028
42398,"LOVES #807",Patterson,CA,ULSD,2.5888,0.2483,0.466,0.40573,0.095,0.02465,3.828,4.889,3.828,1.061
5006,"LOVES #223","Ripon ",CA,ULSD,2.5888,0.2483,0.466,0.40004,0.0815,0.02465,3.809,4.849,3.809,1.04
24309,"LOVES #898",Salinas,CA,ULSD,2.5911,0.2483,0.466,0.45346,0.139,0.02465,3.923,4.989,3.923,1.066
5223,"LOVES #441","Santa Nella",CA,ULSD,2.5888,0.2483,0.466,0.40192,0.0954,0.02465,3.825,4.779,3.825,0.954
5211,"LOVES #392",Tehachapi,CA,ULSD,2.7599,0.2483,0.466,0.44616,0.134,0.02465,4.079,4.989,4.079,0.91
5578,"LOVES #382",Tulare,CA,ULSD,2.5999,0.2483,0.466,0.41935,0.1025,0.02465,3.861,4.659,3.861,0.798
44591,"LOVES #749",Westmorland,CA,ULSD,2.8811,0.2483,0.466,0.4422,0.1015,0.02465,4.164,4.689,4.164,0.525
1170,"LOVES #652",Williams,CA,ULSD,2.6335,0.2483,0.466,0.42461,0.1065,0.02465,3.904,4.589,3.904,0.685
37572,"LOVES #838",BRIGHTON,CO,ULSD,1.9463,0.2483,0.205,0,0.0388,0.14175,2.58,2.789,2.58,0.209
6058,"LOVES #300",Bennett,CO,ULSD,1.9463,0.2483,0.205,0,0.049,0.14175,2.59,2.889,2.59,0.299
42150,"LOVES #668",Berthoud,CO,ULSD,1.9463,0.2483,0.205,0,0.0587,0.14175,2.6,2.979,2.6,0.379
42110,"LOVES #649",Brush,CO,ULSD,1.9463,0.2483,0.205,0,0.0792,0.14175,2.621,3.589,2.621,0.968
6134,"LOVES #644",Burlington,CO,ULSD,1.9463,0.2483,0.205,0,0.0825,0.14175,2.624,3.649,2.624,1.025
3450,"LOVES #873","Canon City",CO,ULSD,2.0219,0.2483,0.205,0,0.095,0.14175,2.712,2.739,2.712,0.027
23358,"LOVES #850",Cortez,CO,ULSD,2.2711,0.2483,0.205,0,0.1155,0.14175,2.982,3.589,2.982,0.607
44096,"LOVES #653",Eads,CO,ULSD,1.9463,0.2483,0.205,0,0.1342,0.14175,2.676,2.849,2.676,0.173
6047,"LOVES #517","Grand Junction",CO,ULSD,1.9463,0.2483,0.205,0,0.2508,0.14175,2.792,3.179,2.792,0.387
6142,"LOVES #377",Hudson,CO,ULSD,1.9463,0.2483,0.205,0,0.06,0.14175,2.601,3.039,2.601,0.438
6053,"LOVES #23",Lamar,CO,ULSD,1.9665,0.2483,0.205,0,0.1385,0.14175,2.7,2.779,2.7,0.079
2266,"LOVES #826",Parachute,CO,ULSD,1.9463,0.2483,0.205,0,0.2508,0.14175,2.792,3.249,2.792,0.457
6038,"LOVES #226",Pueblo,CO,ULSD,2.0219,0.2483,0.205,0,0.0945,0.14175,2.711,2.729,2.711,0.018
27380,"LOVES #1035",TRINIDAD,CO,ULSD,1.9931,0.2483,0.205,0,0.149,0.14175,2.737,3.049,2.737,0.312
13330,"LOVES #660",Walsenburg,CO,ULSD,1.9931,0.2483,0.205,0,0.149,0.14175,2.737,3.039,2.737,0.302
7225,"LOVES #646",Willington,CT,ULSD,2.2303,0.2483,0.489,0,0.0761,0,3.044,4.889,3.044,1.845
10281,"LOVES #228",Auburndale,FL,ULSD,2.2047,0.2483,0.389,0,0.065,0.02072,2.928,3.649,2.928,0.721
44300,"LOVES #708",Bushnell,FL,ULSD,2.2047,0.2483,0.389,0,0.0875,0.02072,2.95,3.289,2.95,0.339
10266,"LOVES #453",Cottondale,FL,ULSD,2.2278,0.2483,0.389,0,0.0662,0.02072,2.952,3.549,2.952,0.597
39001,"LOVES #627",Davenport,FL,ULSD,2.253,0.2483,0.389,0,0.0925,0.02072,3.004,3.649,3.004,0.645
10063,"LOVES #415","Fort Pierce",FL,ULSD,2.249,0.2483,0.389,0,0.12,0.02072,3.027,3.749,3.027,0.722
10101,"LOVES #467","Fort Pierce",FL,ULSD,2.249,0.2483,0.389,0,0.12,0.02072,3.027,3.749,3.027,0.722
25021,"LOVES #620",Hawthorne,FL,ULSD,2.253,0.2483,0.389,0,0.0925,0.02072,3.004,3.789,3.004,0.785
10165,"LOVES #603",Jacksonville,FL,ULSD,2.2167,0.2483,0.389,0,0.06,0.02072,2.935,3.689,2.935,0.754
20166,"LOVES #761",Jacksonville,FL,ULSD,2.2167,0.2483,0.389,0,0.057,0.02072,2.932,3.989,2.932,1.057
27278,"LOVES #828",Jacksonville,FL,ULSD,2.2167,0.2483,0.389,0,0.065,0.02072,2.94,3.649,2.94,0.709
10393,"LOVES #470",Jasper,FL,ULSD,2.1639,0.2483,0.389,0,0.1075,0.02072,2.929,3.229,2.929,0.3
31109,"LOVES #724","Lake City",FL,ULSD,2.2047,0.2483,0.389,0,0.1506,0.02072,3.013,3.579,3.013,0.566
36087,"LOVES #674","Lake Wales",FL,ULSD,2.253,0.2483,0.389,0,0.0875,0.02072,2.999,3.649,2.999,0.65
