"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-08-22
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,4.5215,0.2483,0.3175,0,0.1187,0.02,5.226,5.689,5.226,0.463
8313,"LOVES #877",Cullman,AL,ULSD,4.4949,0.2483,0.3175,0,0.065,0.01,5.136,5.789,5.136,0.653
36091,"LOVES #773",Eutaw,AL,ULSD,4.4949,0.2483,0.3175,0,0.0522,0.06,5.173,5.489,5.173,0.316
1106,"LOVES #225",Evergreen,AL,ULSD,4.5215,0.2483,0.3175,0,0.0974,0.07,5.255,5.789,5.255,0.534
1375,"LOVES #381",Falkville,AL,ULSD,4.4949,0.2483,0.3175,0,0.0825,0.03,5.173,5.789,5.173,0.616
14312,"LOVES #814",Hamilton,AL,ULSD,4.5379,0.2483,0.3175,0,0.085,0.03,5.219,5.889,5.219,0.67
2172,"LOVES #818",Heflin,AL,ULSD,4.4949,0.2483,0.3175,0,0.065,0.03,5.156,5.539,5.156,0.383
33059,"LOVES #718","Hope Hull",AL,ULSD,4.5215,0.2483,0.3175,0,0.0625,0.03,5.18,5.789,5.18,0.609
21124,"LOVES #846",Irvington,AL,ULSD,4.6242,0.2483,0.3175,0,0.07,0.03,5.29,5.849,5.29,0.559
1173,"LOVES #466",Jasper,AL,ULSD,4.4949,0.2483,0.3175,0,0.0362,0.04,5.137,5.689,5.137,0.552
1157,"LOVES #206",Loxley,AL,ULSD,4.6242,0.2483,0.3175,0,0.068,0.09,5.348,5.899,5.348,0.551
1108,"LOVES #227","Mc Calla",AL,ULSD,4.4949,0.2483,0.3175,0,0.0475,0.02,5.128,5.589,5.128,0.461
1055,"LOVES #530",Moody,AL,ULSD,4.4949,0.2483,0.3175,0,0.0675,0.08,5.208,5.589,5.208,0.381
1113,"LOVES #566",Ozark,AL,ULSD,4.6872,0.2483,0.3175,0,0.0825,0.07,5.406,5.849,5.406,0.443
